"model","logLik","k","AIC","AIC_weight","nsim","tree_number","dataset","trait"
"SYM",-17.8624507732534,1,37.7249015465068,0.404558329606725,8,34,"Hand","Cave_karstic_deposit"
"ARD",-17.6135842408815,2,39.227168481763,0.190883340786551,4,34,"Hand","Cave_karstic_deposit"
"ER",-17.9583753893476,1,37.9167507786951,0.405473021719668,8,35,"Hand","Cave_karstic_deposit"
"SYM",-17.9583753893476,1,37.9167507786951,0.405473021719668,8,35,"Hand","Cave_karstic_deposit"
"ARD",-17.7213972710241,2,39.4427945420483,0.189053956560665,4,35,"Hand","Cave_karstic_deposit"
"ER",-18.2010087301268,1,38.4020174602536,0.411358343095006,8,36,"Hand","Cave_karstic_deposit"
"SYM",-18.2010087301268,1,38.4020174602536,0.411358343095006,8,36,"Hand","Cave_karstic_deposit"
"ARD",-18.0427243498608,2,40.0854486997217,0.177283313809988,4,36,"Hand","Cave_karstic_deposit"
"ER",-17.9137391810166,1,37.8274783620333,0.403332987437915,8,37,"Hand","Cave_karstic_deposit"
"SYM",-17.9137391810166,1,37.8274783620333,0.403332987437915,8,37,"Hand","Cave_karstic_deposit"
"ARD",-17.6490822802526,2,39.2981645605052,0.19333402512417,4,37,"Hand","Cave_karstic_deposit"
"ER",-18.5832362230994,1,39.1664724461987,0.414643261554469,8,38,"Hand","Cave_karstic_deposit"
"SYM",-18.5832362230994,1,39.1664724461987,0.414643261554469,8,38,"Hand","Cave_karstic_deposit"
"ARD",-18.4706681855183,2,40.9413363710367,0.170713476891061,4,38,"Hand","Cave_karstic_deposit"
"ER",-18.1998790526419,1,38.3997581052838,0.40953296070031,8,39,"Hand","Cave_karstic_deposit"
"SYM",-18.1998790526419,1,38.3997581052838,0.40953296070031,8,39,"Hand","Cave_karstic_deposit"
"ARD",-18.0167636845133,2,40.0335273690266,0.180934078599379,4,39,"Hand","Cave_karstic_deposit"
"ER",-17.9418371066585,1,37.883674213317,0.406431090252954,8,40,"Hand","Cave_karstic_deposit"
"SYM",-17.9418371066585,1,37.883674213317,0.406431090252954,8,40,"Hand","Cave_karstic_deposit"
"ARD",-17.7174061535596,2,39.4348123071193,0.187137819494093,4,40,"Hand","Cave_karstic_deposit"
"ER",-17.7909874562575,1,37.5819749125151,0.401231668460119,8,41,"Hand","Cave_karstic_deposit"
"SYM",-17.7909874562575,1,37.5819749125151,0.401231668460119,8,41,"Hand","Cave_karstic_deposit"
"ARD",-17.4996022406176,2,38.9992044812351,0.197536663079763,4,41,"Hand","Cave_karstic_deposit"
"ER",-18.2044323625368,1,38.4088647250737,0.417731421218159,9,42,"Hand","Cave_karstic_deposit"
"SYM",-18.2044323625368,1,38.4088647250737,0.417731421218159,8,42,"Hand","Cave_karstic_deposit"
"ARD",-18.1361346290339,2,40.2722692580677,0.164537157563681,3,42,"Hand","Cave_karstic_deposit"
"ER",-17.8871513716106,1,37.7743027432211,0.411490022760182,8,43,"Hand","Cave_karstic_deposit"
"SYM",-17.8871513716106,1,37.7743027432211,0.411490022760182,8,43,"Hand","Cave_karstic_deposit"
"ARD",-17.7306736820149,2,39.4613473640298,0.177019954479636,4,43,"Hand","Cave_karstic_deposit"
"ER",-17.9183993008012,1,37.8367986016025,0.405128810058423,8,44,"Hand","Cave_karstic_deposit"
"SYM",-17.9183993008012,1,37.8367986016025,0.405128810058423,8,44,"Hand","Cave_karstic_deposit"
"ARD",-17.6769371101169,2,39.3538742202338,0.189742379883154,4,44,"Hand","Cave_karstic_deposit"
"ER",-17.9376558687695,1,37.875311737539,0.407557252549794,8,45,"Hand","Cave_karstic_deposit"
"SYM",-17.9376558687695,1,37.875311737539,0.407557252549794,8,45,"Hand","Cave_karstic_deposit"
"ARD",-17.7281006016687,2,39.4562012033375,0.184885494900412,4,45,"Hand","Cave_karstic_deposit"
"ER",-17.8309915930994,1,37.6619831861988,0.40262721336848,8,46,"Hand","Cave_karstic_deposit"
"SYM",-17.8309915930994,1,37.6619831861988,0.40262721336848,8,46,"Hand","Cave_karstic_deposit"
"ARD",-17.5573087439447,2,39.1146174878893,0.194745573263039,4,46,"Hand","Cave_karstic_deposit"
"ER",-18.1476247508233,1,38.2952495016466,0.411964778416079,8,47,"Hand","Cave_karstic_deposit"
"SYM",-18.1476247508233,1,38.2952495016466,0.411964778416079,8,47,"Hand","Cave_karstic_deposit"
"ARD",-17.9976784470038,2,39.9953568940077,0.176070443167841,4,47,"Hand","Cave_karstic_deposit"
"ER",-17.9933261723383,1,37.9866523446767,0.405283710573159,8,48,"Hand","Cave_karstic_deposit"
"SYM",-17.9933261723383,1,37.9866523446767,0.405283710573159,8,48,"Hand","Cave_karstic_deposit"
"ARD",-17.7538803373262,2,39.5077606746523,0.189432578853682,4,48,"Hand","Cave_karstic_deposit"
"ER",-17.9185403783654,1,37.8370807567309,0.404508922549575,8,49,"Hand","Cave_karstic_deposit"
"SYM",-17.9185403783654,1,37.8370807567309,0.404508922549575,8,49,"Hand","Cave_karstic_deposit"
"ARD",-17.6690341789964,2,39.3380683579928,0.19098215490085,4,49,"Hand","Cave_karstic_deposit"
"ER",-18.2053809148999,1,38.4107618297999,0.409695951789934,8,50,"Hand","Cave_karstic_deposit"
"SYM",-18.2053809148999,1,38.4107618297999,0.409695951789934,8,50,"Hand","Cave_karstic_deposit"
"ARD",-18.0244667478366,2,40.0489334956733,0.180608096420133,4,50,"Hand","Cave_karstic_deposit"
