"node","clade_signature","trait_1_p1_mean","trait_1_p1_sd","trait_1_n_matching_trees","n_total_trees","trait_2_p1_mean","trait_2_p1_sd","trait_2_n_matching_trees","trait_1","trait_2"
126,"Archaeonycteris_brailloni||Archaeonycteris_storchi||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sp||Xylonycteris_stenodon",0.967,0.0576849288844856,50,50,0.214,0.1040211909337,50,"Echolocation","Cave_deposit"
127,"Archaeonycteris_brailloni||Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sp||Xylonycteris_stenodon",0.975,0.0431537356199806,50,50,0.219,0.0963041525372523,50,"Echolocation","Cave_deposit"
128,"Icaronycteris_index||Icaronycteris_menui||Icaronycteris_sp||Xylonycteris_stenodon",0.981,0.0348319581149617,50,50,0.235,0.102145354614822,50,"Echolocation","Cave_deposit"
129,"Icaronycteris_index||Icaronycteris_sp||Xylonycteris_stenodon",0.987,0.031638906557643,50,50,0.25,0.0989743318610787,50,"Echolocation","Cave_deposit"
130,"Icaronycteris_index||Icaronycteris_sp",0.995,0.0151522881682832,50,50,0.261,0.09963709660768,50,"Echolocation","Cave_deposit"
131,"Carcinipteryx_liaudae||Carcinipteryx_maximinensis||Carcinipteryx_trassounius||Chadronycteris_rabenae||Cistugo_lesueuri||Craseonycteris_thonglongyai||Cuvierimops_parisiensis||Furipterus_horrens||Hipposideros_commersoni||Macrotus_waterhousii||Megaderma_lyra||Microchiropteryx_folieae||Miniopterus_schreibersii||Mixopteryx_dubia||Mixopteryx_perrierensis||Mixopteryx_weithoferi||Myotis_lucifugus||Mystacina_tuberculata||Myzopoda_aurita||Natalus_stramineus||Noctilio_leporinus||Nycteris_thebaica||Phasmatonycteris_butleri||Phasmatonycteris_phiomensis||Pteronotus_parnellii||Rhinolophus_ferrumequinum||Rhinonicteris_aurantia||Rhinopoma_hardwickii||Saccopteryx_bilineata||Saharaderma_pseudovampyrus||Stehlinia_minor||Tachypteron_franzeni||Tadarida_brasiliensis||Thyroptera_tricolor",0.988,0.0277746029931765,50,50,0.112,0.0635353027369631,50,"Echolocation","Cave_deposit"
132,"Craseonycteris_thonglongyai||Hipposideros_commersoni||Megaderma_lyra||Rhinolophus_ferrumequinum||Rhinonicteris_aurantia||Rhinopoma_hardwickii||Saharaderma_pseudovampyrus",0.987,0.0263609172674942,50,50,0.572,0.123783880128197,50,"Echolocation","Cave_deposit"
133,"Hipposideros_commersoni||Rhinolophus_ferrumequinum||Rhinonicteris_aurantia",0.999,0.00707106781186548,50,50,0.996,0.0137023757808935,50,"Echolocation","Cave_deposit"
134,"Hipposideros_commersoni||Rhinolophus_ferrumequinum",1,0,50,50,1,0,50,"Echolocation","Cave_deposit"
135,"Craseonycteris_thonglongyai||Megaderma_lyra||Rhinopoma_hardwickii||Saharaderma_pseudovampyrus",0.986,0.028642768079662,50,50,0.587,0.129681713972231,50,"Echolocation","Cave_deposit"
